,TITLE,DESCRIPTION,BULLET_POINTS,BRAND,BROWSE_NODE_ID
19,"InterDesign 14 by 9 by 5-Inch Basic Basket, Medium, White",Plastic basket with chrome handle. You can store or carry many different items in the basket. White.,"[Made of extra durable translucent plastic,Chrome plated rust proof handles for a firm grip,Lightweight and mobile,Stackable design,5.1-Inch by 8.7-Inch by 13.9-Inch]",InterDesign,19
20,Woodard & Charles 6.5-Inch Individual Salad Bowl,The natural look of wood or the polished look of ceramic and glass? Have a variety of bowls on hand to serve your salads and other delights.,"[Material: Natural Finish Wood,Size/Capacity: 6.5"" x 2.5"",Cleaning & Care: Handwash,Origin: Thailand,Style/Pattern: Wood Angle Sided Bowl]",Woodard & Charles,20
21,"Meco Swinger Charcoal Grill, Black","Color:Black Meco Swinger charcoal grills are especially handy for picnics, ballgames, camping, RVing or anywhere people are on the go. Tilt-away hood with easy action hinges, stay-cool wood handles and rolling wheels make it easy to transport. 332 square inches of usable cooking surface and a 6-position chrome-plated cooking grid cook rare or well done simultaneously. Adjustable vents in hood and bowl save charcoal and control cooking temperatures. Elevated fire grate and ash dump for better starts, easier cleaning and burnout prevention","[332 square inches of cooking surface,Six-position chrome-plated cooking grid,This grill has six heat zones to grill medium, rare and well-done at the same time,Its elevated fire grate/ash dump enables the Swinger to start faster while also preventing bottom burn outs,With its tilt-away hood and adjustable air vents, this grill makes checking on your food and controlling temperature easy. Designed for easy transport with its easy-rolling wheels]",Americana,21
22,"Crystal 3 Blue Ring Pool, 3-Ring, 66"" X 16""",,? Made from soft inflatable floor which is safe for kids.,Intex,22
23,Oscar Pour Lui By Oscar De La Renta Edt Spray 88.72 ml,Oscar Pour Lui by Oscar De La Renta for Men - 3 oz EDT,Oscar Pour Lui by Oscar De La Renta for Men - 3 oz EDT,Oscar,23
24,Farberware FPHM600 Hand Mixer,"Admiring the slick chrome finish on this hand mixer it seems only fitting that it is equipped with a feature called ""Blast Power"". A dough hook attachment and 200 watts of power reassure you that this is not the wimpy hand mixer your mother had that groaned and stalled when the going got tough.","[6 Speed Hand Mixer,Wire Beaters,Dough Hooks,Batter Blending Spatula,Chrome Plated]",Farberware,24
25,"3M(TM) Positionable Mounting Adhesive 568, 24 Inches x 50 Feet",,"[Clean, dry, long-lasting, odorless adhesive,Allows repositioning of items to be pasted up or mounted, then applying pressure bonds permanently,Available in 50 ft long rolls, 16 in, and 24 in wide]",3M,25
26,"Zojirushi RDS-600 6-Liter Thermal Rice Warmer, Stainless Steel",Zojirushi's RDS-600 Thermal Rice Warmer keeps rice warm thermally. Perfect for catering or ourdoors where there is no electricity available. Stainless steel interior ideal for holding sushi rice.<br><BR>Dimensions: 5.9&Prime; x 5.51&Prime; x 5.9&Prime;.,"[6-Liter non-electric thermal rice warmer made of durable stainless steel,Keeps prepared rice hot for hours without altering consistency,Uniform thermal retention; ideal for catering or transporting; stackable,Works well against acidic liquids; removable lid; easy-to-clean design,Measures 15-by-15-by-14-inch]",ZOJIRUSHI,26
27,"ALL GLASS AQUARIUM Pine Cabinet 24"" Oak",These quality pine stands and canopies are constructed entirely of solid wood. Each stand and Canopy is stained and finished with a waterproofing sealer that will protect them from splashes and other water damage. Canopies are available with Full length doors that allow easy access to the aquarium top.,,,27
28,Sabian 16 Inch HHX Studio Crash,"16"" STUDIO CRASH HHX","[A Killer Crash from SABIAN,HHX Tone Projection stirs up simmering heat, musical dirt,Delivers simmering Modern Dark tone at all volumes,Protected by SABIAN Two-Year Warranty]",Sabian,28
29,Sabian 11892XN 18-inch HHX X-TREME Crash (Golden),"18"" HHXTREME CRASH","[A Killer Crash from Sabian,HHX Tone Projection stirs up simmering heat, musical dirt,Delivers simmering Modern Dark tone at all volumes,Protected by Sabian Two-Year warranty]",Sabian,28
30,NTE 1151 IC Linear,IC-AUDIO MODULE,,NTE Electronics,30
31,"C2G/Cables to Go 27597 DVI-A Female to HD15 VGA Male Analog Extension Cable (5 Meters, Black)",CABLES TO GO CABLES TO GO 5M DVI-A FEMALE TO HD15 MALE VIDEO CABLE,"Digital Visual Interface (DVI) is the standard interface for high-performance connection between PCs and flat panel displays, CRT displays, projectors, and HDTV.",C2G,31
32,"Verbatim 8.5 GB 2.4X Double Layer Recordable Disc DVD+R DL, 3-Disc Jewel Cases 95014","<B>Verbatim - Dual-Layer DVD+R Discs, 8.5GB, 2.4x, w/Jewel Cases, 3/Pack, Silver - Sold As 1 Pack</B><BR><BR>Enormous, double-layer storage capacity accommodates longer programming, such as sporting events, weddings, and more. Ideal for archiving home movies and other precious memories. Use for backing up important business documents or any other capacity-intensive application. Reliable disc lets you store more per disc for more efficient storage. Compatible with most DVD-ROM drives and DVD players for hassle-free writing and reading. Permanent, write-once format means data can't be overwritten or erased. Disk Type: DVD+R DL; Capacity (HD Video): N/A; Capacity (Video): 240.0 min; Capacity (Music): N/A.<BR><LI>Enormous, double-layer capacity.<LI>Archive home movies.<LI>Back up business documents.<LI>Efficient, reliable storage.<LI>Compatible with most DVD-ROM drives and DVD players.<BR><BR>","[3-pack of double-layer DVD+R DL discs in their own jewel cases,Supported by high speed Double Layer,8.5 GB of storage capacity on a single-sided disc--no need to flip the disc,Record 4 hours of DVD quality television and video (16 hours of VHS quality),Compatible with DVD+R DL drives from Sony, Philips, Lite On and other leading manufacturers]",Verbatim,32
33,Go Video Rave-MP AMP128 128 MB MP3 Player,"<b>Includes: carrying case with arm band, sport clip earbuds, 1 AAA battery, & USB cable.</b> GoVideo 128MB Rave MP Digital Audio Player - This compact digital audio player lets you take your favorite MP3 or WMA files with you wherever you go. It has 128MB of built-in memory, but with the SD/MMC expansion slot, you can add up to 512MB more!   WMA 9/DRM Compatible   16+ Hours of Battery Life   Connects to a PC via USB 2.0","[128 MB of flash memory; holds 2 hours of MP3 and 4 hours of WMA files (CD quality),Expandable to one gigabyte of storage with SD or MMC memory cards,FM radio with 20 presets,Record voice with built-in microphone or record radio,Powered by one AAA alkaline battery for up to 16 hours of playback]",Go Video,33
34,"D'Addario EXL160TP Nickel Wound Bass Guitar Strings, Medium, 50-105, 2 Sets, Long Scale",,"[D'Addario's top-selling heavy gauge bass set. Packaged in a convenient, corrosion resistant 2 pack,Round wound with nickelplated steel for a distinctive bright tone with clear fundamentals,Fits long scale basses with a string scale length of up to 36 1/4 inches,String Gauges: Wound .050, .070, .085, .105,Made in the U.S.A. for the highest quality and performance]",D'Addario,34
35,"Annemarie Borlind Eye Wrinkle Cream, 18g",Natural Beauty Fortifying - Smoothing - Nourishing Est. 1959 Made in the The Black Forest With Organic Sesame Oil and Carrot Extract CSE Eco-Control The rich cream nourishes the delicate eye area with carrot extract. Valuable organic sesame oil helps prevent moisture loss and counteracts dryness lines and crow's feet. The skin is effectively smoothed and has new elasticity. Efficacy and skin-compatibility scientifically confirmed. Free of mineral oil derivatives. Vegetarian.,"[""THIS PRODUCT IS NON-RETURNABLE ONCE IT’S DELIVERED"",""THE PACKING & LABELING MAY VARY FROM TIME TO TIME WITHOUT PRIOR NOTICE""]",Annemarie Borlind,35
36,Golden Fluid Acrylics - Pyrrole Red - 1 oz Bottle,"0002277-1 Color: Pyrrole Red Features: -Fluid acrylics are ideal for spraying, brushing, staining, and can be mixed with other Golden products. -Blend with airbrush medium for spray application. -Excellent for fabric application. -Category: Painting. -Age Group: Adult. Product Type: -Paint. Country of Manufacture: -United States. Dimensions: Overall Height - Top to Bottom: -3"". Overall Width - Side to Side: -1"". Overall Depth - Front to Back: -1"". Overall Product Weight: -0.1 lbs.","[Ideal for spraying, brushing, and staining,Excellent for fabric application,Result offers fine dispersion, high tinting strength, durability and flexibility,Bottle contains 1 ounce of acrylic paint]",Golden,36
37,"Buddy Products Task File Organizer Rack, 4 Pockets, Steel, 2 x 19.75 x 13.5 Inches, Platinum (0841-32)","Buddy Products is a family-owned, privately-held company located in Chicago, Illinois and has been in business for more than 45 years. As an innovative manufacturer and marketer of office supplies and furniture, Buddy Products is committed to providing quality products at competitive prices. Keep your desk and files neat and organized with the Buddy Products Task File Organizer Rack. It features four pockets with radius cut-outs for easy access. This convenient rack can hold file folders, forms, reports and more so you can keep your most important information in clear view. The top of the organizer has divided sections to hold office essentials, including a stapler, staple remover, paper clips, correction fluid and more. Made in the USA using 30% post-consumer recycled materials. Buddy Products combines quality construction with affordable pricing to create everything professionals need to maximize productivity and organization in the workplace","[Save space on your desktop and in your filing cabinet,Four pockets with radius cut-outs for easy access,Hold file folders, forms, reports and more,Divided sections to hold office essentials,Keep your most important documents in clear view]",Buddy,37
38,Bank AmeriKid ATM,"Educational Insights 3060 This interactive savings bank works like a real ATM! Children learn to save money and bank like grownups using the multifunction electronic keypad, personal ATM card, and programmable secret password. Kids will love making deposits, withdrawals, and building a savings account to reach savings goals. It's a bank young children can grow up with, mastering features like the security alarm, locking cash drawer, and built - in calculator! Features: -Bank AmeriKid ATM. -Teaches adding, multiplying, subtracting, dividing. -Tracking savings. -Grades: Pre K up. -Age: 5 years up. -Dimensions: 11.6"" H x 14.2"" W x 23"" D.","[Count on money-saving fun,Interactive savings bank works like a real ATM,Features security alarm, locking cash drawer and built-in calculator,Teaches adding, multiplying, subtracting, dividing, and tracking savings,Kids will love it]",Educational Insights,38
39,"Panter Company MAG-LH-RD Magnetic Label Holders, 4-1/4 x 2-1/2, red, 10/Pack",,"[Colored Magnetic Label Holders for File Cabinets, Bookcases. Colored vinyl with clear label pocket. Magnetic back allows repositioning or removal,Colored vinyl with clear label pocket,Magnetic back allows repositioning or removal,Includes blank inserts,4-1/4 x 2-1/2.]",Panter Company,39
40,Wrangler Men's Regular Fit Jeans (13MWZPW1-463-29-34_Dark Blue_29W x 34L),"Shop from a wide range of Jeans from Wrangler. Perfect for your everyday use, you could pair it with a stylish t-shirt or shirt complete the look.","DURABLE MATERIALS.  It's no question that this classic can withstand wear and tear. Made with durable heavyweight cotton and felled seams to prevent chafing, this original fit jean was made to last -- no matter the task",Wrangler,40
41,Rio Grande Games Princes of Florence,,"[Board games,family games,Strategy game]",Rio Grande Games,38
42,"Wilton Rolling Pin, 22.86cm","Rolling Pin W/Guide Rings 9""X1""-","[Roll out fondant evenly,Roll to the perfect 1/8 or 1/16 in height,Easy to handle,Perfect for use with Fondant Multi Packs and Cut Outs]",Wilton,42
43,"Stanley National N181-461 5051 4-1/2"" BOX RAIL HANGER","BOX RAIL HANGERUnit Sold: 1 PairPart Number: 181461Manufacturer Name: NATIONAL MANUFACTURING SALES CO.UPC: 38613181465600 lb. capacity per pair Steel with steel bearings Zinc plated BoxedWeight (lbs): 2.37 Length (in): 7 Width (in): 5.38 Height (in): 2.88SIZE:4-1/2""","[600 Lb. Capacity Per Pair,For Use With59,5100,5103,5104,5105,5110,5114 Or5116 Box Rail,Packed With Connecting Bolt And Nuts; Without End Caps]",Stanley,43
44,"Oster 7 pc kit containing Oster's stiff grooming brush, soft finishing brush  coarse curry comb , mane and tail brush  mane and tail comb and hoof pick","Oster(R) Equine Care Series 7-Piece Grooming Kit This complete grooming kit contains everything you need for fast and easy grooming. These ergonomic grooming tools enable grooming comfort, while the convenient and durable storage case keeps everything neat and organized. It stores easily, whether trailering or in the tack trunk. Blue Kit Contents: Stiff grooming brush, mane and tail brush, coarse curry comb, hoof pick, soft grooming brush, mane and tail comb Pink Kit Contents: Round fine curry comb, round face grooming brush, mane and tail comb, mane and tail brush, stiff grooming brush, hoof pick","[Handy blue storage bag for organized transport,7-Piece horse grooming kit with brush, curry comb, mane and tail brush, hoof pick,Rubber control-touch handles for added comfort and better grip for hands of all sizes,Great for grooming horses, whole bodies,Kit includes Oster's stiff grooming brush (078399-100-000), soft finishing brush (078399-110-000) coarse curry comb (078399-120-000), mane and tail brush (078399-140-000), mane and tail comb (078399-150-000) and hoof pick (078399-170-000)]",OSTER,44
45,"Kong Air Dog Squeakair Tennis Balls Dog Toy - Medium, Yellow (Pack of 3)",,"[Nonabrasive nontoxic felt cover,High floating,Erratic bounce,Heavy duty]",KONG,45
46,"Sally Hansen Vitamin E Nail and Cuticle Oil, 13.3ml",,"[Absorbs quickly into nails and cuticles to deeply hydrate,Reduces brittleness and breakage,Salon tested - Dermatologist Tested]",Sally Hansen,46
47,Susan Howatch,,,,4
48,Elizabeth Reynolds Hapgood,,,,4
49,Bohumil Hrabal,,,,4
50,E. B. White,,,,4
51,Hyper Dog Launcher Replacement Pouch,Hyper Dog Ball Launcher Replacement Pouch/Band-,"[Best Quality,Hyper Pet,Original]",Hyper,45
52,Rosenthal Free Spirit 10-1/2-Inch White Porcelain Oval Side Plate,"This wonderful Rosenthal dinnerware is called Free Spirit White. It is <br />produced using the finest porcelain creating a style that is best described <br />as modern and design oriented. The side plate measures 10 1/2 inch. The <br />most prominent color of this item is white. The side plate is sold as a <br />single piece. For more than one piece please change the quantity <br />accordingly before adding it to your cart. (Alternatively, you can change <br />the quantity on the shopping cart page later.)<br />continue shopping this collection<br />Dishwasher safe - With this decor the colors are melted into the glaze at <br />1000 degrees C. Here the glaze softens and the decor sinks into it, thus <br />making color and luminosity indestructible. It is scratch- and <br />wear-resistant. However, gold decors are not totally scratch resistant by <br />virtue of their natural material properties. This decor was tested by the <br />Rosenthal Institute for Material Technology (IWT). It is dishwasher safe.<br /><br />Microwave suitable - This item can safely be used in the microwave.","[10-1/2-inch oval side plate in glossy white porcelain,Playful kidney shape with off-center serving area,Organic, versatile Free Spirit dinnerware by British designer Robin Platt,Also available in glass with a clear or red/violet rim,Dishwasher- and microwave-safe]",Rosenthal,52
53,73514 Graphite Outdrive/Drive Cup Set RS4 Pro 4,,,,53
54,"National Hardware V1907 1"" Flag Pole Bracket in Solid Brass",225821 V1907 1 FLAG BRKT SB/,"[Used To Support Flat Poles Up To 1 In. Diameter,Mounts On Vertical And Horizontal Surfaces,Decorative Design,Clear lacquer protective coating]",National,54
55,Iron Man Hawkeye with Bow and Arrow Arsenal Action Figure,Marvel Iron Man Action Figures: Hawkeye With Bow and Arsenal,Marvel Iron Man Action Figures: Hawkeye With Bow and Arsenal,Iron Man,55
56,ACDelco 45A0090 Professional Inner Steering Tie Rod End,Inner Tie Rod End,"[Superb strength for durability,Consistent torque for smooth operation,Full ball stud,Low-friction double bearing for high impact resistance,Undergo extreme impact, wear, and fatigue testing to ensure quality and durability]",ACDelco,56
57,"Oster Cryogen-X Pet Clipper Blade, 4.70 x 3.50 x 11.75 inches",Cuts 3&#047;8&quot; 9&#046;5 mm,"[Oster Cryogen-X blades are made using a 12 step process that ensures superior Cutting quality,The size 4F blade leaves the coat 3/8 Inch without the need for a guide comb,Patented Cryogen-X process take the blade to -300 degree F for extra hardness,Hand lapped for a smooth cut finish,Handcrafted in the USA]",OSTER,57
58,Cacharel Anais Anais Perfumed Deodorant (100 ml),,,,58
59,LaBella BX120 Bajo Sexto Strings,The La Bella BX200 Bajo String Set is for the Mexican Sexto bass guitar - 12 strings (six sets of two strings).,"[Stainless Steel Wound,Loop-Ends,.023W - .023W, .036W - .036W, .046W - .046W, .030W - .062W, .036W - .078W, .046W - .092W]",La Bella,59
60,Fiskars 46 Inch Steel D-handle Digging Shovel (9669),"Product Description Fiskars steel D-handle digging shovel features a durable design that provides excellent grip when you are digging in the garden. The welded steel construction is far more durable than wood and won’t flex like fiberglass. The large D-handle design offers two-handed control, a sharpened blade cuts into dense soil easily, and an extra-large foot platform helps maximize force to break up hardened soil clods Amazon.com The Fiskars digging shovel features an all-steel construction for heavy-duty strength and durability. The blade sports an oversized step for additional leverage and comfort, and is pre-sharpened to cut through a variety of different soils and materials. The teardrop-shaped shaft and oversized d-handle provide ergonomic comfort and control during use. For added strength, the blade itself is directly welded onto the shaft, and the entire shovel is powder-coated to prevent rust","[Ideal for digging in tough soil,Large D-handle design offers secure two-handed control when digging,Welded 14-gauge hardened steel blade and 18-gauge steel shaft provide durability that far outlasts wood-handled tools and won’t flex like fiberglass,Sharpened blade makes it easy to penetrate tough soil or break up hardened dirt clods,Lifetime warranty]",Fiskars,60
61,Belkin Flip 2-Port KVM Switch with Audio Support (USB Connection),"Package Contents: Remote, base with cables, optional fastener strip, user guide The Belkin Flip Plus Audio 2-Port KVM Switch offer you a great way to work and play on your laptop, almost anywhere. Som",Single User,Belkin,61
62,Body Solid GDR44 Vertical Dumbbell Rack,"The uniquely designed Two-Tier Vertical Dumbbell Rack holds 6 pairs of hex dumbbells. Each level is off-set, allowing unrestricted access to dumbbells. Place it against a wall or center it in a room. Heavy-gauge steel construction offers maximum durability and better performance in less space.","[For hex dumbbells up to 35 lbs. only,Physique Training Equipment does not offer installation for this item. Assembly manual and tools are supplied along with the equipment, which can be used to instal the equipment.,Installation service is available at an additional charge, payable directly to the installer.]",Body Solid,62
63,Lego Make & Create Boeing 787 Dreamliner,,,LEGO,63
64,StarMark Clicker Dog Training System,StarMark Clicker,"[Product Model No: '078050,Product Weight: 0.1 Kgs,Product Brand Name: StarMark]",StarMark,64
65,"Familia Knusper Crunch Muesli (Granola), 500 g",,"[It truly reigns supreme as the perfect breakfast cereal,The crunchiest muesli in the familia range is packed full of crunchy clusters, juicy raisins and freshly roasted nuts,These breakfast cereals are just as popular as an ingredient in recipes or as a topping]",Familia,65
66,Tolo Toys Musical Activity TV-Past,,,Tolo,66
67,Prismacolor Verithin Colored Pencils,"High-performance, acid-free colored pencils deliver artist quality results for every level of expertise. Superior pigments provide a full, rich color saturation. Hard, thin lead core sharpens to a fine point for improved precision and accuracy. Ideal for drawing techniques including outlining, detailing, lettering and softening up edges. Pencil Type: Woodcase Lead Colors: Indigo Blue Barrel Colors: Indigo Blue Barrel Material: Wood.","[Points won't snap under normal pressure; moisture won't smear marks,High-quality pigments deliver rich color saturation,Ideal for outlining, detailing, lettering and cleaning up edges,Each pencil sharpens to a fine point without crumbling,Features a round barrel with gilt top]",PRISMACOLOR,4
68,Glacier Wooden Boomerang - For Kids 8-18!,"Glacier Wooden Boomerang - For Kids 8-18! Great Returning BoomerangsThe Glacier has been one of the most popular starter boomerangs in history. It is a real returning boomerang from Colorado Boomerangs one of the leading aerodynamic boomerang companies in the world. Hand Crafted in the USA since 1987. We include both access to our boomerang videos and our ""How to Throw Boomerangs"" instructions. Throwing Boomerangs is a skill which teaches both engineering skill and the scientific method. It\s a thinking person\s sport in many ways similar to Golf. Small adjustments can result in large changes to the flight path. Go with the best....Colorado Boomerangs. See our full range of boomerangs by searching for ""Colorado Boomerangs"".NOTE: This is for RIGHT HANDED boomerang throwers only. ;","[Great starter boomerang for kids 8 to 18!,Hand crafted from airplane grade Birch wood impo,Made by experienced boomerang craftsmen in the U,Includes our exclusive ""How to Throw Boomerangs""]",Colorado Boomerangs,68
69,Shelby Cobra 427 S/C (Blue),"Make Your Own History With This Exceptional Sports Car From The Swinging Sixties. This 1965 Shelby Cobra 427 S/C Convertible Is A 1/18 Scale Diecast Model Replica. It Comes In A Blue Color And Features Openable Doors, Hood And Trunk, Detailed Engine, Interior And Chassis, Chrome Detailed Accessories, And Pvc Tires. It's An Excellent Addition For Any Sports Car Collection, And A Real Gem For Devoted Shelby Connoisseurs. Imported From USA.","[1:18 Scale Diecast Collectible Model Car,This Shelby Cobra 427 S/C Is A 8.5Inch L X 3.5Inch W X 2.25Inch H,Openable Doors, Hood And Trunk, Detailed Engine, Interior & Chassis, Chrome Detailed Accessories, And Pvc Tires]",Shelby Collect,69
